id,keywords,adult,original_language,popularity,revenue,vote_average,vote_count,castNum,genreNum,titleNum,title
862,2.7328819196080225,0,17,21.946943,373554033.0,7.7,5415.0,1629167,2147,894,toy story
8844,3.245939037215093,0,17,17.015539,262797249.0,6.9,2413.0,12868921,2278,719,jumanji
15602,2.43001225451469,0,17,11.7129,0.0,6.5,92.0,64590,1318,1483,grumpier old men
31357,2.8524493787215293,0,17,3.859495,81452156.0,6.1,34.0,1467529,1803,1614,waiting to exhale
11862,3.213355720749244,0,17,8.387519000000001,76578911.0,5.7,173.0,1083159,609,2336,father of the bride part ii
949,5.105958091997207,0,17,17.924927,187436818.0,7.7,1886.0,22641097,2425,387,heat
11860,2.714165575771293,0,17,6.677277,0.0,6.2,141.0,52994583,1318,705,sabrina
45325,0.0,0,17,2.5611610000000002,0.0,5.4,45.0,398162,2643,1071,tom and huck
9091,2.2186116597749006,0,17,5.23158,64350171.0,5.5,174.0,132424,2386,1130,sudden death
710,4.929182627991117,0,17,14.686035999999998,352194034.0,6.6,1194.0,278410,2386,893,goldeneye
9087,2.922301070161179,0,17,6.318445,107879496.0,6.5,199.0,772184,1803,2096,the american president
12110,1.4101102395330471,0,17,5.430331,0.0,5.7,210.0,1931848,1245,2372,dracula: dead and loving it
21032,3.250584771802564,0,17,12.140733,11348324.0,7.1,423.0,3541060,2480,499,balto
10858,3.1252659799653424,0,17,5.092,13681765.0,7.1,72.0,956772,1239,525,nixon
1408,2.608171426923464,0,17,7.284477000000001,10017322.0,5.7,137.0,11757904,1548,1594,cutthroat island
524,2.6215155673452335,0,17,10.137389,116112375.0,7.8,1343.0,17332034,981,606,casino
4584,4.009798286733384,0,17,10.673167,135000000.0,7.2,364.0,2497485,1194,2049,sense and sensibility
5,3.6593416306411513,0,17,9.026586,4300000.0,6.5,539.0,117310,1105,973,four rooms
9273,2.3953193192264957,0,17,8.205447999999999,212385533.0,6.1,1128.0,3960616,2047,2713,ace ventura: when nature calls
11517,2.6181304919466166,0,17,7.337905999999999,35431113.0,5.4,224.0,3898272,1711,1063,money train
8012,4.17414053749608,0,17,12.669608,115101622.0,6.4,305.0,1486000,1943,970,get shorty
1710,2.853809859676103,0,17,10.701801,0.0,6.5,199.0,4009453,1323,724,copycat
9691,5.040496637641744,0,17,11.065939,30303072.0,6.0,394.0,2738894,2882,953,assassins
12665,4.943720031844708,0,17,12.133094,0.0,6.3,143.0,492719,3495,626,powder
451,4.644237842773977,0,17,10.332025,49800000.0,7.1,365.0,123716,1194,1565,leaving las vegas
16420,1.9593824319982083,0,17,1.8458990000000002,0.0,7.0,33.0,1556762,485,728,othello
9263,3.125243707359754,0,17,8.681325,27400000.0,6.6,91.0,458946,1704,1079,now and then
17015,2.4310178839909558,0,17,2.228434,0.0,7.4,36.0,12309647,1194,1066,persuasion
902,3.2821224944721403,0,24,9.822422999999999,1738611.0,7.6,308.0,17085003,3114,2267,the city of lost children
37557,2.6384522714253817,0,87,1.1009149999999999,0.0,6.5,17.0,740554,981,1336,shanghai triad
9909,3.1102941870873257,0,17,9.481338000000001,180000000.0,6.4,249.0,6384502,981,1476,dangerous minds
63,3.6714359122449807,0,17,12.297305,168840000.0,7.4,2470.0,56422843,3049,1406,twelve monkeys
78802,0.0,0,24,0.745542,0.0,6.8,4.0,787056,1651,1508,wings of courage
9598,3.1734899272785997,0,17,14.404764000000002,254134910.0,6.0,756.0,6138997,2430,363,babe
47018,2.5040752525008187,0,17,1.4933610000000002,0.0,6.4,16.0,520029,1948,1048,carrington
687,5.420607426414155,0,17,6.891317,39363635.0,7.3,350.0,15617979,485,1432,dead man walking
139405,0.0,0,17,0.114469,0.0,3.5,2.0,5638537,2791,1962,across the sea of time
33689,1.7150479794308175,0,17,7.777735000000001,0.0,6.1,149.0,9581734,1928,1072,it takes two
9603,3.1824500618868194,0,17,9.882383,0.0,6.9,828.0,1765262,1803,833,clueless
34615,1.414206723430138,0,17,0.894647,676525.0,6.7,13.0,2902958,485,2225,"cry, the beloved country"
31174,2.198351761886423,0,17,4.561387,0.0,6.9,50.0,2965308,783,953,richard iii
11443,3.2400550019378183,0,17,9.87957,0.0,6.6,80.0,3273551,2341,1456,dead presidents
35196,2.6041515499367747,0,17,10.979269,0.0,6.3,30.0,1389545,1194,1179,restoration
9312,3.385874432720963,0,17,10.870138,122195920.0,5.4,452.0,482159,1332,1262,mortal kombat
577,2.9278201534495736,0,17,10.448481,21284514.0,6.7,177.0,1371037,2658,829,to die for
11861,3.9208336703992406,0,17,4.485958,23574130.0,6.5,38.0,4211926,1194,2542,how to make an american quilt
807,4.358010244496662,0,17,18.45743,327311859.0,8.1,5915.0,13378809,2099,451,se7en
10530,6.53006895062575,0,17,13.280069000000001,346079773.0,6.7,1509.0,3083507,2965,1041,pocahontas
8391,1.9142927182032619,0,17,3.302524,0.0,5.9,10.0,145129,1194,1894,when night is falling
629,2.595752001050894,0,17,16.302466,23341568.0,8.1,3334.0,3739954,1819,1734,the usual suspects
117164,0.0,0,17,0.595949,0.0,6.3,3.0,1502258,1929,1331,guardian angel
11448,3.3813314970232202,0,17,15.899134,6700000.0,6.7,145.0,1297553,1318,1587,mighty aphrodite
49133,1.411794127618362,0,34,1.361286,0.0,7.7,11.0,4287221,1199,799,lamerica
26441,2.358232033536477,0,17,5.9827639999999995,0.0,5.2,41.0,1068846,2767,1125,the big green
97406,2.223083643030723,0,17,4.093443,0.0,6.1,15.0,1788894,485,703,georgia
124057,0.0,0,17,0.307075,0.0,3.0,1.0,1877690,0,2066,kids of the round table
9089,2.6431131907107197,0,17,8.416802,17519169.0,6.3,39.0,1775277,1803,1967,home for the holidays
11010,2.2163646132999184,0,34,10.168436999999999,0.0,7.6,181.0,10008775,1803,1060,the postman
99040,0.0,0,24,0.12078900000000001,0.0,6.5,2.0,2307628,2088,1574,the confessional
11359,2.773345763001793,0,17,10.673296,0.0,5.9,136.0,1642012,2278,2365,the indian in the cupboard
17182,2.2091670814293667,0,17,4.733526,0.0,5.8,65.0,867258,1323,1213,eye for an eye
2054,2.9428784965456822,0,17,7.137117,106269971.0,6.9,115.0,3930634,1608,1585,mr. holland's opus
10607,3.2780503240671024,0,17,11.700115,0.0,6.2,192.0,1965854,609,6365,don't be a menace to south central while drinking your juice in the hood
19760,1.9555182630786683,0,17,2.174487,0.0,4.5,14.0,2870983,1318,1086,two if by sea
9536,1.7265010237017488,0,17,6.387469,0.0,4.4,110.0,403548,609,717,bio-dome
11525,2.437803489291271,0,17,2.49535,2409225.0,2.8,32.0,7851351,2052,3111,lawnmower man 2: beyond cyberspace
40628,0.0,0,17,4.046208,0.0,5.4,11.0,157235,1095,749,two bits
4482,3.2005766539794163,0,24,2.518051,0.0,6.0,43.0,229474,1318,1170,french twist
10634,2.579463866756835,0,17,14.56965,28215918.0,7.0,513.0,729561,609,608,friday
755,6.042293354566816,0,17,15.339153,25836616.0,6.9,1644.0,10562609,2576,1707,from dusk till dawn
11859,6.927535316562347,0,17,5.912223,11534477.0,4.1,54.0,2031849,2153,797,fair game
28387,1.0,0,17,3.3672760000000004,718490.0,7.0,36.0,4819337,1803,1997,kicking and screaming
48750,2.2270290922598606,0,24,1.4794459999999998,0.0,6.6,8.0,1900624,1239,1356,les miserables
20927,1.6784478106408531,0,17,10.412194,19030691.0,5.1,27.0,2198901,1194,1069,bed of roses
36929,1.0,0,17,2.936443,2042530.0,3.9,16.0,318330,1219,827,big bully
9102,2.6101953104598383,0,17,12.758848,5781885.0,6.1,154.0,3013572,2082,934,screamers
124626,0.0,0,17,0.133893,0.0,7.3,3.0,1519475,1163,819,nico icon
