Movie,Rec1,Rec2,Rec3,Rec4,Rec5,Rec6,Rec7,Rec8,Rec9,Rec10
toy story,born into brothels,night and fog,amores perros,the wizard of oz,paradise now,the evil dead,requiem,the china syndrome,wargames,harry potter and the half-blood prince
jumanji,deep impact,chang: a drama of the wilderness,dread,babes in toyland,precious,keoma,harry brown,micki & maude,goyokin,dasepo naughty girls
grumpier old men,0,0,0,0,0,0,0,0,0,0
waiting to exhale,0,0,0,0,0,0,0,0,0,0
father of the bride part ii,0,0,0,0,0,0,0,0,0,0
heat,escape from new york,galaxy quest,the door in the floor,nell,"torrente, the dumb arm of the law",totally blonde,meet me in st. louis,pandora's box,"don't worry, i'm fine",the big sleep
sabrina,a bridge too far,read it and weep,windows on monday,the shipping news,asterix at the olympic games,idle hands,olga's house of shame,frankenstein conquers the world,romeo and juliet,that man from rio
tom and huck,0,0,0,0,0,0,0,0,0,0
sudden death,0,0,0,0,0,0,0,0,0,0
goldeneye,life is beautiful,umberto d.,open hearts,un chien andalou,dirty dancing,8 mile,the cincinnati kid,munich,shrek 2,dont look back
the american president,0,0,0,0,0,0,0,0,0,0
dracula: dead and loving it,0,0,0,0,0,0,0,0,0,0
balto,0,0,0,0,0,0,0,0,0,0
nixon,0,0,0,0,0,0,0,0,0,0
cutthroat island,three colors: red,fever pitch,the hours,sissi,say anything...,superstar: the karen carpenter story,aguirre: the wrath of god,monsoon wedding,a nightmare on elm street,princesses
casino,2001: a space odyssey,bollywood/hollywood,romeo + juliet,psycho,48 hrs.,dogville,aliens vs predator: requiem,sissi,reservoir dogs,big fish
sense and sensibility,sleuth,carrie,hang 'em high,semi-tough,emil and the detectives,grande école,the old gun,armored,diplomatic courier,my best friend
four rooms,night on earth,shadows in paradise,lucky number slevin,psycho,reservoir dogs,grbavica: the land of my dreams,2001: a space odyssey,wag the dog,big fish,donnie darko
ace ventura: when nature calls,0,0,0,0,0,0,0,0,0,0
money train,0,0,0,0,0,0,0,0,0,0
get shorty,the rules of attraction,the holy mountain,valley of flowers,"dance, girl, dance",the unforgiven,eye of the tiger,the halliday brand,crossing delancey,end of the world,flamingo road
copycat,0,0,0,0,0,0,0,0,0,0
assassins,0,0,0,0,0,0,0,0,0,0
powder,0,0,0,0,0,0,0,0,0,0
leaving las vegas,the last mimzy,requiem,payback,maria full of grace,veronika voss,the seventh seal,ice age,los olvidados,the piano teacher,killing zoe
othello,0,0,0,0,0,0,0,0,0,0
now and then,0,0,0,0,0,0,0,0,0,0
persuasion,0,0,0,0,0,0,0,0,0,0
the city of lost children,bullitt,the great dictator,cars,the thomas crown affair,the good shepherd,broken blossoms,blood: the last vampire,the big sleep,madagascar,birdman of alcatraz
shanghai triad,0,0,0,0,0,0,0,0,0,0
dangerous minds,0,0,0,0,0,0,0,0,0,0
twelve monkeys,walk the line,umberto d.,dirty dancing,greed,run lola run,goldeneye,8 mile,ali: fear eats the soul,the cincinnati kid,kolya
wings of courage,0,0,0,0,0,0,0,0,0,0
babe,0,0,0,0,0,0,0,0,0,0
carrington,0,0,0,0,0,0,0,0,0,0
dead man walking,braveheart,e.t. the extra-terrestrial,thunderball,the wizard of oz,faces,rio bravo,beverly hills cop,moonraker,lost highway,the secret life of words
across the sea of time,0,0,0,0,0,0,0,0,0,0
it takes two,0,0,0,0,0,0,0,0,0,0
clueless,0,0,0,0,0,0,0,0,0,0
"cry, the beloved country",0,0,0,0,0,0,0,0,0,0
